year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1955,middle-long,men,1152.0,239010.0,Men's 800m,Outdoor Senior - Men,5954,1:45.94,Roger MOËNS,BEL,1,1955-08-03 00:00:00,Oslo (NOR),25.0,1930.0,800-metres,outdoor,senior
1957,middle-long,men,1149.0,257332.0,Men's 800m,Outdoor Senior - Men,6565,1:46.04,Tom COURTNEY,USA,1,1957-08-09 00:00:00,Oslo (NOR),24.0,1933.0,800-metres,outdoor,senior
1958,middle-long,men,1161.0,185280.0,Men's 1500m,Outdoor Senior - Men,4439,3:36.24,Herb ELLIOTT,AUS,1,1958-08-28 00:00:00,Göteborg (SWE),20.0,1938.0,1500-metres,outdoor,senior
1959,middle-long,men,1116.0,,Men's 1000m,Outdoor Senior - Men,467,2:18.04,Dan WAERN,SWE,1,1959-08-21 00:00:00,Karlstad (SWE),26.0,1933.0,1000-metres,outdoor,senior
1960,middle-long,men,1166.0,161101.0,Men's 1500m,Outdoor Senior - Men,3752,3:35.84,Herb ELLIOTT,AUS,1,1960-09-06 00:00:00,"Stadio Olimpico, Roma (ITA)",22.0,1938.0,1500-metres,outdoor,senior
1962,middle-long,men,1195.0,59156.0,Men's 800m,Outdoor Senior - Men,1113,1:44.54,Peter SNELL,NZL,,1962-02-03 00:00:00,Christchurch (NZL),24.0,1938.0,800-metres,outdoor,senior
1962,middle-long,women,1141.0,303958.0,Women's 800m,Outdoor Senior - Women,8671,2:1.44,Dixie WILLIS,AUS,,1962-03-03 00:00:00,Perth (AUS),21.0,1941.0,800-metres,outdoor,senior
1963,middle-long,men,1148.0,262829.0,Men's Mile indoor,Indoor Senior - Men,973,3:58.84,Jim BEATTY,USA,1,1963-02-15 00:00:00,"New York, NY (USA)",29.0,1934.0,one-mile,indoor,senior
1964,middle-long,men,1177.0,114975.0,Men's Mile indoor,Indoor Senior - Men,377,3:56.64,Thomas O'HARA,USA,1,1964-03-06 00:00:00,"Chicago, IL (USA)",22.0,1942.0,one-mile,indoor,senior
1964,middle-long,women,1198.0,51746.0,Women's 800m,Outdoor Senior - Women,848,1:58.24,Geum-Dan SHIN,PRK,1,1964-09-05 00:00:00,Pyongyang (PRK),26.0,1938.0,800-metres,outdoor,senior
1965,middle-long,men,1179.0,106819.0,Men's 3000m,Outdoor Senior - Men,969,7:39.84,Kipchoge KEINO,KEN,1,1965-08-27 00:00:00,Helsingborg (SWE),25.0,1940.0,3000-metres,outdoor,senior
1966,middle-long,men,1184.0,88390.0,Men's Mile,Outdoor Senior - Men,357,3:51.54,Jim RYUN,USA,1,1966-07-17 00:00:00,"Berkeley, CA (USA)",19.0,1947.0,one-mile,outdoor,senior
1966,middle-long,men,1184.0,88390.0,Men's Mile,Outdoor U20 - Men,12,3:51.54,Jim RYUN,USA,1,1966-07-17 00:00:00,"Berkeley, CA (USA)",19.0,1947.0,one-mile,outdoor,u20
1967,middle-long,men,1201.0,46123.0,Men's 1500m,Outdoor Senior - Men,1139,3:33.34,Jim RYUN,USA,1,1967-07-08 00:00:00,"Los Angeles, CA (USA)",20.0,1947.0,1500-metres,outdoor,senior
1967,middle-long,women,1159.0,197761.0,Women's 600m,Outdoor Senior - Women,27,1:25.44,Vera NIKOLIĆ,YUG,1,1967-06-01 00:00:00,Beograd (SRB),19.0,1948.0,600-metres,outdoor,senior
1968,middle-long,men,1192.0,65562.0,Men's 800m,Outdoor Senior - Men,1284,1:44.40,Ralph DOUBELL,AUS,1,1968-10-15 00:00:00,"Estadio Olímpico, Ciudad de México (MEX)",23.0,1945.0,800-metres,outdoor,senior
1968,middle-long,women,1153.0,233670.0,Women's 800m,Outdoor Senior - Women,5848,2:0.74,Vera NIKOLIĆ,YUG,1,1968-07-20 00:00:00,London (GBR),20.0,1948.0,800-metres,outdoor,senior
1969,middle-long,men,1182.0,96417.0,Men's 800m indoor,Indoor Senior - Men,498,1:46.84,Dieter FROMM,GDR,1,1969-03-08 00:00:00,"Belgrade Fair, Beograd (SRB)",21.0,1948.0,800-metres,indoor,senior
1969,middle-long,women,1136.0,330071.0,Women's 800m,Outdoor Senior - Women,9992,2:1.74,Lillian BOARD,GBR,1,1969-09-18 00:00:00,"Georgios Karaiskakis Stadium, Athina (GRE)",21.0,1948.0,800-metres,outdoor,senior
1970,middle-long,men,1188.0,76220.0,Men's 1500m,Outdoor Senior - Men,1802,3:34.24,Jean WADOUX,FRA,1,1970-07-23 00:00:00,Colombes (FRA),28.0,1942.0,1500-metres,outdoor,senior
1971,middle-long,men,1199.0,49964.0,Men's 2 Miles indoor,Indoor Senior - Men,71,8:19.44,Kerry O'BRIEN,AUS,1,1971-02-19 00:00:00,"San Diego, CA (USA)",25.0,1946.0,two-miles,indoor,senior
1971,middle-long,women,1189.0,73555.0,Women's 800m,Outdoor Senior - Women,1290,1:58.74,Hildegard FALCK,FRG,1,1971-07-11 00:00:00,Stuttgart (GER),22.0,1949.0,800-metres,outdoor,senior
1972,middle-long,men,1195.0,59156.0,Men's 800m,Outdoor Senior - Men,1113,1:44.54,David WOTTLE,USA,1,1972-07-01 00:00:00,"Eugene, OR (USA)",22.0,1950.0,800-metres,outdoor,senior
1972,middle-long,women,1194.0,61024.0,Women's 1500m,Outdoor Senior - Women,906,4:01.38,Lyudmila BRAGINA,URS,1,1972-09-09 00:00:00,"Olympiastadion, München (GER)",29.0,1943.0,1500-metres,outdoor,senior
1973,middle-long,men,1234.0,10173.0,Men's 2 Miles indoor,Indoor Senior - Men,28,8:13.44,Emiel PUTTEMANS,BEL,1,1973-02-18 00:00:00,Berlin (GER),26.0,1947.0,two-miles,indoor,senior
1973,middle-long,women,1208.0,34984.0,Women's 800m,Outdoor Senior - Women,484,1:57.48,Svetla ZLATEVA,BUL,1,1973-08-24 00:00:00,Athina (GRE),21.0,1952.0,800-metres,outdoor,senior
1974,middle-long,men,1214.0,26466.0,Men's 1500m,Outdoor Senior - Men,716,3:32.44,Filbert BAYI,TAN,1,1974-02-02 00:00:00,Christchurch (NZL),21.0,1953.0,1500-metres,outdoor,senior
1974,middle-long,women,1196.0,56932.0,Women's 800m,Outdoor Senior - Women,966,1:58.14,Lilyana TOMOVA,BUL,1,1974-09-04 00:00:00,"Stadio Olimpico, Roma (ITA)",28.0,1946.0,800-metres,outdoor,senior
1975,middle-long,men,1213.0,27830.0,Men's 3000mSC,Outdoor Senior - Men,589,8:09.70,Anders GÄRDERUD,SWE,1,1975-07-01 00:00:00,Stockholm (SWE),29.0,1946.0,3000-metres-steeplechase,outdoor,senior
1975,middle-long,women,1173.0,129814.0,Women's 800m,Outdoor Senior - Women,2748,1:59.64,Nina MORGUNOVA,URS,1,1975-07-30 00:00:00,Moskva (URS),24.0,1951.0,800-metres,outdoor,senior
1976,middle-long,men,1221.0,18998.0,Men's 3000mSC,Outdoor Senior - Men,394,8:08.02,Anders GÄRDERUD,SWE,1,1976-07-28 00:00:00,"Olympic Stadium, Montréal (CAN)",30.0,1946.0,3000-metres-steeplechase,outdoor,senior
1976,middle-long,women,1254.0,3605.0,Women's 800m,Outdoor Senior - Women,13,1:54.94,Tatyana KAZANKINA,URS,1,1976-07-26 00:00:00,"Olympic Stadium, Montréal (CAN)",25.0,1951.0,800-metres,outdoor,senior
1977,middle-long,men,1223.0,17532.0,Men's 800m,Outdoor Senior - Men,252,1:43.64,Alberto JUANTORENA,CUB,1,1977-08-21 00:00:00,Sofia (BUL),27.0,1950.0,800-metres,outdoor,senior
1977,middle-long,women,1209.0,33600.0,Women's 800m,Outdoor Senior - Women,437,1:57.39,Ileana SILAI,ROU,1,1977-08-28 00:00:00,Bucureşti (ROU),36.0,1941.0,800-metres,outdoor,senior
1978,middle-long,men,1233.0,10636.0,Men's 3000mSC,Outdoor Senior - Men,209,8:5.64,Henry RONO,KEN,1,1978-05-13 00:00:00,"Seattle, WA (USA)",26.0,1952.0,3000-metres-steeplechase,outdoor,senior
1978,middle-long,women,1239.0,7768.0,Women's 800m,Outdoor Senior - Women,61,1:55.80,Tatyana PROVIDOKHINA,URS,1,1978-08-31 00:00:00,"Stadion Evžena Rošického, Praha (TCH)",25.0,1953.0,800-metres,outdoor,senior
1979,middle-long,men,1256.0,3223.0,Men's 800m,Outdoor Senior - Men,28,1:42.33,Sebastian COE,GBR,1,1979-07-05 00:00:00,Oslo (NOR),23.0,1956.0,800-metres,outdoor,senior
1979,middle-long,women,1231.0,11767.0,Women's 800m,Outdoor Senior - Women,104,1:56.44,Totka PETROVA,BUL,1,1979-07-06 00:00:00,Paris (FRA),23.0,1956.0,800-metres,outdoor,senior
1980,middle-long,men,1225.0,15509.0,Men's 1500m,Outdoor Senior - Men,399,3:31.36,Steve OVETT,GBR,1,1980-08-27 00:00:00,Koblenz (GER),25.0,1955.0,1500-metres,outdoor,senior
1980,middle-long,women,1283.0,749.0,Women's 800m,Outdoor Senior - Women,2,1:53.43,Nadezhda OLIZARENKO,URS,1,1980-07-27 00:00:00,"Lenin Stadium, Moskva (URS)",27.0,1953.0,800-metres,outdoor,senior
1981,middle-long,men,1275.0,1167.0,Men's 800m,Outdoor Senior - Men,9,1:41.73,Sebastian COE,GBR,1,1981-06-10 00:00:00,Firenze (ITA),25.0,1956.0,800-metres,outdoor,senior
1981,middle-long,women,1223.0,17532.0,Women's 1500m,Outdoor Senior - Women,172,3:57.78,Olga DVIRNA,URS,1,1981-07-29 00:00:00,Budapest (HUN),28.0,1953.0,1500-metres,outdoor,senior
1982,middle-long,men,1231.0,11767.0,Men's Mile,Outdoor Senior - Men,31,3:47.69,Steve SCOTT,USA,1,1982-07-07 00:00:00,Oslo (NOR),26.0,1956.0,one-mile,outdoor,senior
1982,middle-long,women,1252.0,4003.0,Women's 1500m,Outdoor Senior - Women,29,3:54.23,Olga DVIRNA,URS,1f1,1982-07-27 00:00:00,Kiev (URS),29.0,1953.0,1500-metres,outdoor,senior
1982,middle-long,women,1252.0,4003.0,Women's 800m,Outdoor Senior - Women,20,1:55.05,Doina MELINTE,ROU,1,1982-08-01 00:00:00,Bucureşti (ROU),26.0,1956.0,800-metres,outdoor,senior
1983,middle-long,men,1265.0,2090.0,Men's Mile indoor,Indoor Senior - Men,8,3:49.78,Eamonn COGHLAN,IRL,1,1983-02-27 00:00:00,"East Rutherford, NJ (USA)",31.0,1952.0,one-mile,indoor,senior
1983,middle-long,women,1286.0,644.0,Women's 800m,Outdoor Senior - Women,1,1:53.28,Jarmila KRATOCHVÍLOVÁ,TCH,1,1983-07-26 00:00:00,München (GER),32.0,1951.0,800-metres,outdoor,senior
1984,middle-long,men,1274.0,1239.0,Men's 800m,Outdoor Senior - Men,13,1:41.77,Joaquim CRUZ,BRA,1,1984-08-26 00:00:00,Köln (GER),21.0,1963.0,800-metres,outdoor,senior
1984,middle-long,women,1241.0,7124.0,Women's 800m,Outdoor Senior - Women,52,1:55.69,Irina PODYALOVSKAYA,URS,1,1984-06-22 00:00:00,Kiev (URS),25.0,1959.0,800-metres,outdoor,senior
1985,middle-long,men,1252.0,4003.0,Men's 1500m,Outdoor Senior - Men,87,3:29.46,Saïd AOUITA,MAR,1,1985-08-23 00:00:00,"Olympiastadion, Berlin (GER)",26.0,1959.0,1500-metres,outdoor,senior
1985,middle-long,women,1241.0,7124.0,Women's 800m,Outdoor Senior - Women,50,1:55.68,Ella KOVÁCS,ROU,1,1985-06-02 00:00:00,Bucureşti (ROU),21.0,1964.0,800-metres,outdoor,senior
1986,middle-long,men,1248.0,4963.0,Men's 1500m,Outdoor Senior - Men,118,3:29.77,Sebastian COE,GBR,1,1986-09-07 00:00:00,Rieti (ITA),30.0,1956.0,1500-metres,outdoor,senior
1986,middle-long,women,1235.0,9747.0,"Women's 10,000m",Outdoor Senior - Women,46,30:13.74,Ingrid KRISTIANSEN,NOR,1,1986-07-05 00:00:00,Oslo (NOR),30.0,1956.0,10000-metres,outdoor,senior
1987,middle-long,men,1243.0,6300.0,Men's Mile,Outdoor Senior - Men,17,3:46.76,Saïd AOUITA,MAR,1,1987-07-02 00:00:00,Helsinki (FIN),28.0,1959.0,one-mile,outdoor,senior
1987,middle-long,women,1249.0,4642.0,Women's 800m,Outdoor Senior - Women,28,1:55.26,Sigrun WODARS,GDR,1,1987-08-31 00:00:00,"Stadio Olimpico, Roma (ITA)",22.0,1965.0,800-metres,outdoor,senior
1988,middle-long,men,1250.0,4454.0,Men's Mile indoor,Indoor Senior - Men,24,3:50.94,Marcus O'SULLIVAN,IRL,1,1988-02-13 00:00:00,"East Rutherford, NJ (USA)",27.0,1961.0,one-mile,indoor,senior
1988,middle-long,women,1255.0,3408.0,Women's 1500m,Outdoor Senior - Women,22,3:53.96,Paula IVAN,ROU,1,1988-10-01 00:00:00,"Olympic Stadium, Jamsil, Seoul (KOR)",25.0,1963.0,1500-metres,outdoor,senior
1989,middle-long,men,1243.0,6300.0,Men's 3000m,Outdoor Senior - Men,78,7:29.45,Saïd AOUITA,MAR,1,1989-08-20 00:00:00,Köln (GER),30.0,1959.0,3000-metres,outdoor,senior
1989,middle-long,women,1264.0,2162.0,Women's 800m,Outdoor Senior - Women,5,1:54.44,Ana Fidelia QUIROT,CUB,1,1989-09-09 00:00:00,"Estadio Olímpico, Barcelona (ESP)",26.0,1963.0,800-metres,outdoor,senior
1990,middle-long,men,1239.0,7768.0,Men's 1500m indoor,Indoor Senior - Men,52,3:34.20,Peter ELLIOTT,GBR,1,1990-02-27 00:00:00,Sevilla (ESP),28.0,1962.0,1500-metres,indoor,senior
1990,middle-long,women,1244.0,6050.0,Women's Mile indoor,Indoor Senior - Women,4,4:17.14,Doina MELINTE,ROU,1,1990-02-09 00:00:00,"East Rutherford, NJ (USA)",34.0,1956.0,one-mile,indoor,senior
1991,middle-long,men,1251.0,4200.0,Men's Mile indoor,Indoor Senior - Men,20,3:50.81,Noureddine MORCELI,ALG,1,1991-02-08 00:00:00,"East Rutherford, NJ (USA)",21.0,1970.0,one-mile,indoor,senior
1991,middle-long,women,1217.0,23052.0,Women's 1000m,Outdoor Senior - Women,17,2:31.50,Natalya ARTYOMOVA,URS,1,1991-09-10 00:00:00,Berlin (GER),28.0,1963.0,1000-metres,outdoor,senior
1992,middle-long,men,1261.0,2498.0,Men's 1500m,Outdoor Senior - Men,43,3:28.86,Noureddine MORCELI,ALG,1,1992-09-06 00:00:00,Rieti (ITA),22.0,1970.0,1500-metres,outdoor,senior
1992,middle-long,women,1244.0,6050.0,Women's 1500m,Outdoor Senior - Women,47,3:55.30,Hassiba BOULMERKA,ALG,1,1992-08-08 00:00:00,"Estadio Olímpico, Barcelona (ESP)",24.0,1968.0,1500-metres,outdoor,senior
1993,middle-long,men,1275.0,1167.0,Men's Mile,Outdoor Senior - Men,5,3:44.39,Noureddine MORCELI,ALG,1,1993-09-05 00:00:00,Rieti (ITA),23.0,1970.0,one-mile,outdoor,senior
1993,middle-long,women,1293.0,439.0,Women's 3000m,Outdoor Senior - Women,1,8:06.11,Junxia WANG,CHN,1,1993-09-13 00:00:00,Beijing (CHN),20.0,1973.0,3000-metres,outdoor,senior
1994,middle-long,men,1270.0,1515.0,Men's 3000m,Outdoor Senior - Men,8,7:25.11,Noureddine MORCELI,ALG,1,1994-08-02 00:00:00,"Stade Louis II, Monaco (MON)",24.0,1970.0,3000-metres,outdoor,senior
1994,middle-long,women,1250.0,4454.0,Women's 800m,Outdoor Senior - Women,24,1:55.19,Maria de Lurdes MUTOLA,MOZ,1,1994-08-17 00:00:00,Zürich (SUI),22.0,1972.0,800-metres,outdoor,senior
1995,middle-long,men,1282.0,794.0,Men's 1500m,Outdoor Senior - Men,11,3:27.37,Noureddine MORCELI,ALG,1,1995-07-12 00:00:00,Nice (FRA),25.0,1970.0,1500-metres,outdoor,senior
1995,middle-long,women,1246.0,5488.0,Women's 1000m,Outdoor Senior - Women,3,2:29.34,Maria de Lurdes MUTOLA,MOZ,1,1995-08-25 00:00:00,Bruxelles (BEL),23.0,1972.0,1000-metres,outdoor,senior
1996,middle-long,men,1299.0,304.0,Men's 3000m,Outdoor Senior - Men,1,7:20.67,Daniel KOMEN,KEN,1,1996-09-01 00:00:00,Rieti (ITA),20.0,1976.0,3000-metres,outdoor,senior
1996,middle-long,women,1251.0,4200.0,Women's 1000m,Outdoor Senior - Women,1,2:28.98,Svetlana MASTERKOVA,RUS,1,1996-08-23 00:00:00,Bruxelles (BEL),28.0,1968.0,1000-metres,outdoor,senior
1997,middle-long,men,1305.0,220.0,Men's 800m indoor,Indoor Senior - Men,1,1:42.67,Wilson KIPKETER,DEN,1,1997-03-09 00:00:00,"Palais Omnisports de Paris-Bercy, Paris (FRA)",25.0,1972.0,800-metres,indoor,senior
1997,middle-long,women,1279.0,939.0,Women's 1500m,Outdoor Senior - Women,6,3:50.98,Jiang BO,CHN,1,1997-10-18 00:00:00,Shanghai (CHN),20.0,1977.0,1500-metres,outdoor,senior
1998,middle-long,men,1302.0,259.0,Men's 1500m,Outdoor Senior - Men,1,3:26.00,Hicham EL GUERROUJ,MAR,1,1998-07-14 00:00:00,"Stadio Olimpico, Roma (ITA)",24.0,1974.0,1500-metres,outdoor,senior
1998,middle-long,women,1233.0,10636.0,Women's 800m,Outdoor Senior - Women,96,1:56.11,Maria de Lurdes MUTOLA,MOZ,1,1998-08-12 00:00:00,Zürich (SUI),26.0,1972.0,800-metres,outdoor,senior
1999,middle-long,men,1300.0,284.0,Men's 5000m indoor,Indoor Senior - Men,2,12:50.38,Haile GEBRSELASSIE,ETH,1,1999-02-14 00:00:00,Birmingham (GBR),26.0,1973.0,5000-metres,indoor,senior
1999,middle-long,women,1246.0,5488.0,Women's 1000m indoor,Indoor Senior - Women,1,2:30.94,Maria de Lurdes MUTOLA,MOZ,1,1999-02-25 00:00:00,Stockholm (SWE),27.0,1972.0,1000-metres,indoor,senior
2000,middle-long,men,1285.0,685.0,Men's 1500m,Outdoor Senior - Men,9,3:27.21,Hicham EL GUERROUJ,MAR,1f1,2000-08-11 00:00:00,Zürich (SUI),26.0,1974.0,1500-metres,outdoor,senior
2000,middle-long,women,1232.0,11312.0,Women's 800m,Outdoor Senior - Women,100,1:56.15,Maria de Lurdes MUTOLA,MOZ,1,2000-09-25 00:00:00,"Olympic Stadium, Sydney (AUS)",28.0,1972.0,800-metres,outdoor,senior
2001,middle-long,men,1301.0,272.0,Men's 1500m,Outdoor Senior - Men,2,3:26.12,Hicham EL GUERROUJ,MAR,1,2001-08-24 00:00:00,Bruxelles (BEL),27.0,1974.0,1500-metres,outdoor,senior
2001,middle-long,women,1232.0,11312.0,Women's 3000m,Outdoor Senior - Women,32,8:23.26,Olga YEGOROVA,RUS,1,2001-08-17 00:00:00,"Letzigrund, Zürich (SUI)",29.0,1972.0,3000-metres,outdoor,senior
2002,middle-long,men,1289.0,539.0,Men's 1500m,Outdoor Senior - Men,6,3:26.89,Hicham EL GUERROUJ,MAR,1,2002-08-16 00:00:00,Zürich (SUI),28.0,1974.0,1500-metres,outdoor,senior
2002,middle-long,women,1255.0,3408.0,Women's 800m indoor,Indoor Senior - Women,1,1:55.82,Jolanda ČEPLAK,SLO,1,2002-03-03 00:00:00,"Ferry-Dusika-Halle, Wien (AUT)",26.0,1976.0,800-metres,indoor,senior
2002,middle-long,women,1255.0,3408.0,Women's 800m indoor,Indoor Senior - Women,2,1:55.85,Stephanie GRAF,AUT,2,2002-03-03 00:00:00,"Ferry-Dusika-Halle, Wien (AUT)",29.0,1973.0,800-metres,indoor,senior
2003,middle-long,men,1285.0,685.0,Men's 2 Miles indoor,Indoor Senior - Men,3,8:04.69,Haile GEBRSELASSIE,ETH,1,2003-02-21 00:00:00,"National Indoor Arena, Birmingham (GBR)",30.0,1973.0,two-miles,indoor,senior
2003,middle-long,women,1244.0,6050.0,"Women's 10,000m",Outdoor Senior - Women,27,30:04.18,Berhane ADERE,ETH,1,2003-08-23 00:00:00,"Stade de France, Paris-St-Denis (FRA)",30.0,1973.0,10000-metres,outdoor,senior
2004,middle-long,men,1303.0,243.0,Men's 5000m indoor,Indoor Senior - Men,1,12:49.60,Kenenisa BEKELE,ETH,1,2004-02-20 00:00:00,"National Indoor Arena, Birmingham (GBR)",22.0,1982.0,5000-metres,indoor,senior
2004,middle-long,women,1240.0,7470.0,Women's 3000mSC,Outdoor Senior - Women,41,9:01.59,Gulnara SAMITOVA,RUS,1,2004-07-04 00:00:00,Herakleion (GRE),26.0,1978.0,3000-metres-steeplechase,outdoor,senior
2005,middle-long,men,1295.0,382.0,"Men's 10,000m",Outdoor Senior - Men,2,26:17.53,Kenenisa BEKELE,ETH,1,2005-08-26 00:00:00,"Boudewijnstadion, Bruxelles (BEL)",23.0,1982.0,10000-metres,outdoor,senior
2005,middle-long,women,1242.0,6596.0,Women's 5000m indoor,Indoor Senior - Women,7,14:32.93,Tirunesh DIBABA,ETH,1,2005-01-29 00:00:00,"Boston, MA (USA)",20.0,1985.0,5000-metres,indoor,senior
2006,middle-long,men,1283.0,749.0,Men's 2 Miles indoor,Indoor Senior - Men,4,8:05.12,Kenenisa BEKELE,ETH,1,2006-02-18 00:00:00,"National Indoor Arena, Birmingham (GBR)",24.0,1982.0,two-miles,indoor,senior
2006,middle-long,women,1242.0,6596.0,Women's 1500m indoor,Indoor Senior - Women,10,3:58.28,Yelena SOBOLEVA,RUS,1,2006-02-18 00:00:00,Moskva (RUS),24.0,1982.0,1500-metres,indoor,senior
2007,middle-long,men,1280.0,894.0,Men's 2000m indoor,Indoor Senior - Men,1,4:49.99,Kenenisa BEKELE,ETH,1,2007-02-17 00:00:00,"National Indoor Arena, Birmingham (GBR)",25.0,1982.0,2000-metres,indoor,senior
2007,middle-long,women,1255.0,3408.0,Women's 3000m indoor,Indoor Senior - Women,7,8:23.74,Meselech MELKAMU,ETH,2,2007-02-03 00:00:00,"Schleyer Halle, Stuttgart (GER)",22.0,1985.0,3000-metres,indoor,senior
