year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1978,jumps,men,1224.0,16499.0,Men's High Jump indoor,Indoor Senior - Men,150,2.35,Vladimir YASHCHENKO,URS,1,1978-03-12,"Palazzo dello Sport, Milano (ITA)",19.0,1959.0,high-jump,indoor,senior
1978,jumps,women,1238.0,8577.0,Women's Long Jump,Outdoor Senior - Women,228,7.09,Vilma BARDAUSKIENÉ,URS,1q1,1978-08-29,"Stadion Evžena Rošického, Praha (TCH)",25.0,1953.0,long-jump,outdoor,senior
1979,jumps,men,1251.0,4200.0,Men's Long Jump,Outdoor Senior - Men,121,8.52,Larry MYRICKS,USA,1,1979-08-26,"Olympic Stadium, Montréal (CAN)",23.0,1956.0,long-jump,outdoor,senior
1979,jumps,women,1209.0,33600.0,Women's High Jump,Outdoor Senior - Women,644,1.99,Rosemarie ACKERMANN,GDR,1.0,1979-08-05,Torino (ITA),27.0,1952.0,high-jump,outdoor,senior
1980,jumps,men,1256.0,3223.0,Men's Long Jump,Outdoor Senior - Men,96,8.54,Lutz DOMBROWSKI,GDR,1,1980-07-28,"Lenin Stadium, Moskva (URS)",21.0,1959.0,long-jump,outdoor,senior
1980,jumps,women,1231.0,11767.0,Women's Long Jump,Outdoor Senior - Women,293,7.06,Tatyana KOLPAKOVA,URS,1,1980-07-31,"Lenin Stadium, Moskva (URS)",21.0,1959.0,long-jump,outdoor,senior
1981,jumps,men,1273.0,1302.0,Men's Long Jump,Outdoor Senior - Men,44,8.62,Carl LEWIS,USA,1,1981-06-20,"Sacramento, CA (USA)",20.0,1961.0,long-jump,outdoor,senior
1981,jumps,women,1209.0,33600.0,Women's Long Jump,Outdoor Senior - Women,608,6.96,Jodi ANDERSON,USA,1,1981-07-23,"Colorado Springs, CO (USA)",24.0,1957.0,long-jump,outdoor,senior
1982,jumps,men,1304.0,229.0,Men's Long Jump,Outdoor Senior - Men,7,8.76,Carl LEWIS,USA,1,1982-07-24,"Indianapolis, IN (USA)",21.0,1961.0,long-jump,outdoor,senior
1982,jumps,women,1263.0,2282.0,Women's Long Jump,Outdoor Senior - Women,94,7.2,Valy IONESCU,ROU,1,1982-08-01,Bucureşti (ROU),22.0,1960.0,long-jump,outdoor,senior
1983,jumps,men,1311.0,150.0,Men's Long Jump,Outdoor Senior - Men,6,8.79,Carl LEWIS,USA,1,1983-06-19,"Indianapolis, IN (USA)",22.0,1961.0,long-jump,outdoor,senior
1983,jumps,women,1313.0,136.0,Women's Long Jump,Outdoor Senior - Women,12,7.43,Anișoara CUȘMIR,ROU,1,1983-06-04,Bucureşti (ROU),21.0,1962.0,long-jump,outdoor,senior
1984,jumps,men,1311.0,150.0,Men's Long Jump indoor,Indoor Senior - Men,1,8.79,Carl LEWIS,USA,1,1984-01-27,"New York, NY (USA)",23.0,1961.0,long-jump,indoor,senior
1984,jumps,women,1307.0,188.0,Women's Long Jump,Outdoor Senior - Women,14,7.4,Heike DRECHSLER,GDR,1,1984-07-26,Dresden (GER),20.0,1964.0,long-jump,outdoor,senior
1985,jumps,men,1278.0,998.0,Men's High Jump,Outdoor Senior - Men,9,2.41,Igor PAKLIN,URS,1,1985-09-04,Kobe (JPN),22.0,1963.0,high-jump,outdoor,senior
1985,jumps,women,1316.0,109.0,Women's Long Jump,Outdoor Senior - Women,11,7.44,Heike DRECHSLER,GDR,1,1985-09-22,Berlin (GDR),21.0,1964.0,long-jump,outdoor,senior
1986,jumps,men,1272.0,1364.0,Men's Long Jump,Outdoor Senior - Men,50,8.61,Robert EMMIYAN,URS,1,1986-07-06,Moskva (URS),21.0,1965.0,long-jump,outdoor,senior
1986,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Heike DRECHSLER,GDR,1,1986-06-21,Tallinn (EST),22.0,1964.0,long-jump,outdoor,senior
1986,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Heike DRECHSLER,GDR,1,1986-07-03,Dresden (GER),22.0,1964.0,long-jump,outdoor,senior
1987,jumps,men,1326.0,65.0,Men's Long Jump,Outdoor Senior - Men,4,8.86,Robert EMMIYAN,URS,1,1987-05-22,Tsakhadzor (ARM),22.0,1965.0,long-jump,outdoor,senior
1987,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Jackie JOYNER-KERSEE,USA,1,1987-08-13,"Indianapolis, IN (USA)",25.0,1962.0,long-jump,outdoor,senior
1988,jumps,men,1304.0,229.0,Men's Long Jump,Outdoor Senior - Men,7,8.76,Carl LEWIS,USA,1,1988-07-18,"Indianapolis, IN (USA)",27.0,1961.0,long-jump,outdoor,senior
1988,jumps,women,1333.0,43.0,Women's Long Jump,Outdoor Senior - Women,1,7.52,Galina CHISTYAKOVA,URS,1,1988-06-11,Leningrad (URS),26.0,1962.0,long-jump,outdoor,senior
1989,jumps,men,1305.0,220.0,Men's High Jump,Outdoor Senior - Men,2,2.44,Javier SOTOMAYOR,CUB,1,1989-07-29,San Juan (PUR),22.0,1967.0,high-jump,outdoor,senior
1989,jumps,women,1284.0,722.0,Women's Long Jump indoor,Indoor Senior - Women,3,7.3,Galina CHISTYAKOVA,URS,1,1989-01-28,Lipetsk (URS),27.0,1962.0,long-jump,indoor,senior
1990,jumps,men,1282.0,794.0,Men's Long Jump,Outdoor Senior - Men,26,8.66,Mike POWELL,USA,1,1990-06-28,Villeneuve d'Ascq (FRA),27.0,1963.0,long-jump,outdoor,senior
1990,jumps,men,1282.0,794.0,Men's Long Jump,Outdoor Senior - Men,26,8.66,Mike POWELL,USA,1,1990-06-29,Villeneuve d'Ascq (FRA),27.0,1963.0,long-jump,outdoor,senior
1990,jumps,women,1295.0,382.0,Women's Long Jump,Outdoor Senior - Women,25,7.35,Galina CHISTYAKOVA,URS,1,1990-06-20,Bratislava (TCH),28.0,1962.0,long-jump,outdoor,senior
1991,jumps,men,1346.0,22.0,Men's Long Jump,Outdoor Senior - Men,1,8.95,Mike POWELL,USA,1,1991-08-30,"National Stadium, Tokyo (JPN)",28.0,1963.0,long-jump,outdoor,senior
1991,jumps,women,1300.0,284.0,Women's Long Jump,Outdoor Senior - Women,20,7.37,Heike DRECHSLER,GER,1,1991-07-31,Sestriere (ITA),27.0,1964.0,long-jump,outdoor,senior
1992,jumps,men,1303.0,243.0,Men's Pole Vault,Outdoor Senior - Men,6,6.13,Sergey BUBKA,UKR,1,1992-09-19,Tokyo (JPN),29.0,1963.0,pole-vault,outdoor,senior
1992,jumps,men,1303.0,243.0,Men's Pole Vault indoor,Indoor Senior - Men,9,6.13,Sergey BUBKA,UKR,1,1992-02-21,Berlin (GER),29.0,1963.0,pole-vault,indoor,senior
1992,jumps,women,1324.0,72.0,Women's Long Jump,Outdoor Senior - Women,4,7.48,Heike DRECHSLER,GER,1,1992-07-08,"Stade Olympique de la Pontaise, Lausanne (SUI)",28.0,1964.0,long-jump,outdoor,senior
1993,jumps,men,1314.0,131.0,Men's High Jump,Outdoor Senior - Men,1,2.45,Javier SOTOMAYOR,CUB,1,1993-07-27,Salamanca (ESP),26.0,1967.0,high-jump,outdoor,senior
1993,jumps,women,1269.0,1600.0,Women's High Jump,Outdoor Senior - Women,24,2.05,Stefka KOSTADINOVA,BUL,1,1993-09-18,Fukuoka (JPN),28.0,1965.0,high-jump,outdoor,senior
1994,jumps,men,1306.0,200.0,Men's Pole Vault,Outdoor Senior - Men,5,6.14,Sergey BUBKA,UKR,1,1994-07-31,Sestriere (ITA),31.0,1963.0,pole-vault,outdoor,senior
1994,jumps,women,1327.0,62.0,Women's Long Jump,Outdoor Senior - Women,2,7.49,Jackie JOYNER-KERSEE,USA,1,1994-05-22,"New York, NY (USA)",32.0,1962.0,long-jump,outdoor,senior
1994,jumps,women,1327.0,62.0,Women's Long Jump,Outdoor Senior - Women,2,7.49,Jackie JOYNER-KERSEE,USA,1,1994-07-31,Sestriere (ITA),32.0,1962.0,long-jump,outdoor,senior
1995,jumps,men,1303.0,243.0,Men's Triple Jump,Outdoor Senior - Men,1,18.29,Jonathan EDWARDS,GBR,1.0,1995-08-07,"Ullevi Stadium, Göteborg (SWE)",29.0,1966.0,triple-jump,outdoor,senior
1995,jumps,women,1272.0,1364.0,Women's Triple Jump,Outdoor Senior - Women,3,15.5,Inessa KRAVETS,UKR,1,1995-08-10,"Ullevi Stadium, Göteborg (SWE)",29.0,1966.0,triple-jump,outdoor,senior
1996,jumps,men,1283.0,749.0,Men's Triple Jump,Outdoor Senior - Men,6,18.09,Kenny HARRISON,USA,1.0,1996-07-27,"Olympic Stadium, Atlanta, GA (USA)",31.0,1965.0,triple-jump,outdoor,senior
1996,jumps,women,1269.0,1600.0,Women's High Jump,Outdoor Senior - Women,24,2.05,Stefka KOSTADINOVA,BUL,1,1996-08-03,"Olympic Stadium, Atlanta, GA (USA)",31.0,1965.0,high-jump,outdoor,senior
1997,jumps,men,1281.0,836.0,Men's Pole Vault,Outdoor Senior - Men,27,6.05,Sergey BUBKA,UKR,1,1997-09-13,Fukuoka (JPN),34.0,1963.0,pole-vault,outdoor,senior
1997,jumps,women,1241.0,7124.0,Women's Triple Jump,Outdoor Senior - Women,30,15.2,Šárka KAŠPÁRKOVÁ,CZE,1,1997-08-04,"Olympic Stadium, Athina (GRE)",26.0,1971.0,triple-jump,outdoor,senior
1998,jumps,men,1273.0,1302.0,Men's Triple Jump,Outdoor Senior - Men,13,18.01,Jonathan EDWARDS,GBR,1.0,1998-07-09,"Bislett Stadion, Oslo (NOR)",32.0,1966.0,triple-jump,outdoor,senior
1998,jumps,women,1287.0,601.0,Women's Long Jump,Outdoor Senior - Women,36,7.31,Marion JONES,USA,1,1998-05-31,"Eugene, OR (USA)",23.0,1975.0,long-jump,outdoor,senior
1998,jumps,women,1287.0,601.0,Women's Long Jump,Outdoor Senior - Women,36,7.31,Marion JONES,USA,1,1998-08-12,Zürich (SUI),23.0,1975.0,long-jump,outdoor,senior
1999,jumps,men,1281.0,836.0,Men's Pole Vault,Outdoor Senior - Men,27,6.05,Maxim TARASOV,RUS,1,1999-06-16,Athina (GRE),29.0,1970.0,pole-vault,outdoor,senior
1999,jumps,women,1275.0,1167.0,Women's Long Jump,Outdoor Senior - Women,65,7.26,Maurren Higa MAGGI,BRA,1,1999-06-25,Bogotá (COL),23.0,1976.0,long-jump,outdoor,senior
2000,jumps,men,1280.0,894.0,Men's Long Jump,Outdoor Senior - Men,32,8.65,Iván PEDROSO,CUB,1,2000-06-03,Jena (GER),28.0,1972.0,long-jump,outdoor,senior
2000,jumps,women,1253.0,3758.0,Women's Triple Jump,Outdoor Senior - Women,14,15.32,Tatyana LEBEDEVA,RUS,1,2000-09-09,Yokohama (JPN),24.0,1976.0,triple-jump,outdoor,senior
2001,jumps,men,1281.0,836.0,Men's Pole Vault,Outdoor Senior - Men,27,6.05,Dmitri MARKOV,AUS,1,2001-08-09,"Commonwealth Stadium, Edmonton (CAN)",26.0,1975.0,pole-vault,outdoor,senior
2001,jumps,women,1259.0,2747.0,Women's High Jump,Outdoor Senior - Women,52,2.04,Venelina VENEVA-MATEEVA,BUL,1,2001-06-02,Kalamata (GRE),27.0,1974.0,high-jump,outdoor,senior
2002,jumps,men,1272.0,1364.0,Men's Pole Vault indoor,Indoor Senior - Men,35,6.02,Jeff HARTWIG,USA,1,2002-03-10,Sindelfingen (GER),35.0,1967.0,pole-vault,indoor,senior
2002,jumps,women,1311.0,150.0,Women's Long Jump,Outdoor Senior - Women,13,7.42,Tatyana KOTOVA,RUS,1,2002-06-23,"Parc des Sports, Annecy (FRA)",26.0,1976.0,long-jump,outdoor,senior
2003,jumps,men,1254.0,3605.0,Men's Long Jump,Outdoor Senior - Men,107,8.53,Yago LAMELA,ESP,1,2003-08-18,Castellón (ESP),26.0,1977.0,long-jump,outdoor,senior
2003,jumps,women,1279.0,939.0,Women's High Jump,Outdoor Senior - Women,10,2.06,Hestrie CLOETE,RSA,1,2003-08-31,"Stade de France, Paris-St-Denis (FRA)",25.0,1978.0,high-jump,outdoor,senior
2003,jumps,women,1279.0,939.0,Women's High Jump,Outdoor Senior - Women,10,2.06,Kajsa BERGQVIST,SWE,1,2003-07-26,Eberstadt (GER),27.0,1976.0,high-jump,outdoor,senior
2004,jumps,men,1270.0,1515.0,Men's Pole Vault,Outdoor Senior - Men,52,6.01,Timothy MACK,USA,1,2004-09-18,"Stade Louis II, Monaco (MON)",32.0,1972.0,pole-vault,outdoor,senior
2004,jumps,women,1291.0,481.0,Women's Long Jump,Outdoor Senior - Women,30,7.33,Tatyana LEBEDEVA,RUS,1,2004-07-31,Tula (RUS),28.0,1976.0,long-jump,outdoor,senior
2005,jumps,men,1269.0,1600.0,Men's High Jump indoor,Indoor Senior - Men,6,2.4,Stefan HOLM,SWE,1,2005-03-06,"Palacio de Deportes, Madrid (ESP)",29.0,1976.0,high-jump,indoor,senior
2005,jumps,men,1269.0,1600.0,Men's Long Jump,Outdoor Senior - Men,56,8.6,Dwight PHILLIPS,USA,1,2005-08-13,"Olympiastadion, Helsinki (FIN)",28.0,1977.0,long-jump,outdoor,senior
2005,jumps,women,1274.0,1239.0,Women's Pole Vault,Outdoor Senior - Women,5,5.01,Yelena ISINBAYEVA,RUS,1,2005-08-12,"Olympiastadion, Helsinki (FIN)",23.0,1982.0,pole-vault,outdoor,senior
2006,jumps,men,1267.0,1856.0,Men's Pole Vault,Outdoor Senior - Men,69,6.0,Brad WALKER,USA,1,2006-07-19,Jockgrim (GER),25.0,1981.0,pole-vault,outdoor,senior
2006,jumps,women,1299.0,304.0,Women's High Jump indoor,Indoor Senior - Women,1,2.08,Kajsa BERGQVIST,SWE,1,2006-02-04,Arnstadt (GER),30.0,1976.0,high-jump,indoor,senior
2007,jumps,men,1282.0,794.0,Men's Long Jump,Outdoor Senior - Men,26,8.66,Louis TSATOUMAS,GRE,1,2007-06-02,Kalamata (GRE),25.0,1982.0,long-jump,outdoor,senior
2007,jumps,women,1289.0,539.0,Women's High Jump,Outdoor Senior - Women,4,2.07,Blanka VLAŠIĆ,CRO,1,2007-08-07,Stockholm (SWE),24.0,1983.0,high-jump,outdoor,senior
2008,jumps,men,1298.0,325.0,Men's Long Jump,Outdoor Senior - Men,12,8.73,Irving SALADINO,PAN,1,2008-05-24,"FBK Stadium, Hengelo (NED)",25.0,1983.0,long-jump,outdoor,senior
2008,jumps,women,1286.0,644.0,Women's Pole Vault,Outdoor Senior - Women,2,5.05,Yelena ISINBAYEVA,RUS,1,2008-08-18,"National Stadium, Beijing (CHN)",26.0,1982.0,pole-vault,outdoor,senior
2009,jumps,men,1307.0,188.0,Men's Long Jump,Outdoor Senior - Men,9,8.74,Dwight PHILLIPS,USA,1,2009-06-07,"Eugene, OR (USA)",32.0,1977.0,long-jump,outdoor,senior
2009,jumps,women,1299.0,304.0,Women's High Jump,Outdoor Senior - Women,2,2.08,Blanka VLAŠIĆ,CRO,1,2009-08-31,Zagreb (CRO),26.0,1983.0,high-jump,outdoor,senior
2010,jumps,men,1270.0,1515.0,Men's Pole Vault indoor,Indoor Senior - Men,44,6.01,Steven HOOKER,AUS,1,2010-03-13,"Aspire Dome, Doha (QAT)",28.0,1982.0,pole-vault,indoor,senior
2010,jumps,women,1279.0,939.0,Women's High Jump indoor,Indoor Senior - Women,3,2.06,Blanka VLAŠIĆ,CRO,1,2010-02-06,Arnstadt (GER),27.0,1983.0,high-jump,indoor,senior
2011,jumps,men,1275.0,1167.0,Men's Pole Vault indoor,Indoor Senior - Men,30,6.03,Renaud LAVILLENIE,FRA,1,2011-03-05,"Palais Omnisports de Paris-Bercy, Paris (FRA)",25.0,1986.0,pole-vault,indoor,senior
2011,jumps,women,1289.0,539.0,Women's High Jump,Outdoor Senior - Women,4,2.07,Anna CHICHEROVA,RUS,1,2011-07-22,Cheboksary (RUS),29.0,1982.0,high-jump,outdoor,senior
2012,jumps,men,1270.0,1515.0,Men's Pole Vault,Outdoor Senior - Men,52,6.01,Björn OTTO,GER,1,2012-09-05,Aachen (GER),35.0,1977.0,pole-vault,outdoor,senior
2012,jumps,women,1279.0,939.0,Women's High Jump indoor,Indoor Senior - Women,3,2.06,Anna CHICHEROVA,RUS,1,2012-02-04,Arnstadt (GER),30.0,1982.0,high-jump,indoor,senior
2013,jumps,men,1278.0,998.0,Men's High Jump,Outdoor Senior - Men,9,2.41,Bohdan BONDARENKO,UKR,1,2013-07-04,"Stade Olympique de la Pontaise, Lausanne (SUI)",24.0,1989.0,high-jump,outdoor,senior
2013,jumps,men,1278.0,998.0,Men's High Jump,Outdoor Senior - Men,9,2.41,Bohdan BONDARENKO,UKR,1,2013-08-15,"Luzhniki Stadion, Moskva (RUS)",24.0,1989.0,high-jump,outdoor,senior
2013,jumps,women,1277.0,1073.0,Women's Pole Vault indoor,Indoor Senior - Women,2,5.02,Jennifer SUHR,USA,1,2013-03-02,"Albuquerque, NM (USA)",31.0,1982.0,pole-vault,indoor,senior
2014,jumps,men,1311.0,150.0,Men's Pole Vault indoor,Indoor Senior - Men,6,6.16,Renaud LAVILLENIE,FRA,1,2014-02-15,Donetsk (UKR),28.0,1986.0,pole-vault,indoor,senior
2014,jumps,women,1252.0,4003.0,Women's Triple Jump,Outdoor Senior - Women,16,15.31,Caterine IBARGUEN,COL,1,2014-07-18,"Stade Louis II, Monaco (MON)",30.0,1984.0,triple-jump,outdoor,senior
2015,jumps,men,1294.0,410.0,Men's Triple Jump,Outdoor Senior - Men,2,18.21,Christian TAYLOR,USA,1.0,2015-08-27,"National Stadium, Beijing (CHN)",25.0,1990.0,triple-jump,outdoor,senior
2015,jumps,women,1249.0,4642.0,Women's High Jump,Outdoor Senior - Women,91,2.03,Anna CHICHEROVA,RUS,1,2015-07-09,"Stade Olympique de la Pontaise, Lausanne (SUI)",33.0,1982.0,high-jump,outdoor,senior
2015,jumps,women,1249.0,4642.0,Women's Long Jump,Outdoor Senior - Women,151,7.14,Tianna BARTOLETTA,USA,1,2015-08-28,"National Stadium, Beijing (CHN)",30.0,1985.0,long-jump,outdoor,senior
2016,jumps,men,1275.0,1167.0,Men's Pole Vault,Outdoor Senior - Men,38,6.03,Thiago BRAZ,BRA,1,2016-08-15,"Estádio Olímpico, Rio de Janeiro (BRA)",23.0,1993.0,pole-vault,outdoor,senior
2016,jumps,men,1275.0,1167.0,Men's Pole Vault indoor,Indoor Senior - Men,30,6.03,Renaud LAVILLENIE,FRA,1,2016-03-05,Jablonec nad Nisou (CZE),30.0,1986.0,pole-vault,indoor,senior
2016,jumps,women,1287.0,601.0,Women's Long Jump,Outdoor Senior - Women,36,7.31,Brittney REESE,USA,1,2016-07-02,"Hayward Field, Eugene, OR (USA)",30.0,1986.0,long-jump,outdoor,senior
2017,jumps,men,1283.0,749.0,Men's Triple Jump,Outdoor Senior - Men,5,18.11,Christian TAYLOR,USA,1.0,2017-05-27,"Hayward Field, Eugene, OR (USA)",27.0,1990.0,triple-jump,outdoor,senior
2017,jumps,women,1279.0,939.0,Women's High Jump,Outdoor Senior - Women,10,2.06,Mariya LASITSKENE,ANA,1,2017-07-06,"Stade Olympique de la Pontaise, Lausanne (SUI)",24.0,1993.0,high-jump,outdoor,senior
2018,jumps,men,1287.0,601.0,Men's Long Jump,Outdoor Senior - Men,21,8.68,Juan Miguel ECHEVARRÍA,CUB,1,2018-06-30,Bad Langensalza (GER),20.0,1998.0,long-jump,outdoor,senior
2018,jumps,women,1259.0,2747.0,Women's High Jump,Outdoor Senior - Women,52,2.04,Mariya LASITSKENE,ANA,1,2018-06-30,"Stade Charléty, Paris (FRA)",25.0,1993.0,high-jump,outdoor,senior
2018,jumps,women,1259.0,2747.0,Women's High Jump,Outdoor Senior - Women,52,2.04,Mariya LASITSKENE,ANA,1,2018-07-22,"Olympic Stadium, London (GBR)",25.0,1993.0,high-jump,outdoor,senior
2018,jumps,women,1259.0,2747.0,Women's High Jump indoor,Indoor Senior - Women,15,2.04,Mariya LASITSKENE,ANA,1,2018-01-27,Volgograd (RUS),25.0,1993.0,high-jump,indoor,senior
2019,jumps,men,1289.0,539.0,Men's Long Jump,Outdoor Senior - Men,20,8.69,Tajay GAYLE,JAM,1,2019-09-28,"Khalifa International Stadium, Doha (QAT)",23.0,1996.0,long-jump,outdoor,senior
2019,jumps,women,1288.0,573.0,Women's Long Jump,Outdoor Senior - Women,43,7.3,Malaika MIHAMBO,GER,1,2019-10-06,"Khalifa International Stadium, Doha (QAT)",25.0,1994.0,long-jump,outdoor,senior
2020,jumps,men,1317.0,101.0,Men's Pole Vault indoor,Indoor Senior - Men,4,6.18,Armand DUPLANTIS,SWE,1,2020-02-15,"Emirates Arena, Glasgow (GBR)",21.0,1999.0,pole-vault,indoor,senior
2020,jumps,women,1269.0,1600.0,Women's High Jump indoor,Indoor Senior - Women,7,2.05,Mariya LASITSKENE,RUS,1,2020-02-09,"LFK CSKA, Moskva (RUS)",27.0,1993.0,high-jump,indoor,senior
2021,jumps,men,1294.0,410.0,Men's Pole Vault,Outdoor Senior - Men,11,6.1,Armand DUPLANTIS,SWE,1,2021-06-06,"FBK Stadium, Hengelo (NED)",22.0,1999.0,pole-vault,outdoor,senior
2021,jumps,men,1294.0,410.0,Men's Pole Vault indoor,Indoor Senior - Men,12,6.1,Armand DUPLANTIS,SWE,1,2021-02-24,"Atletska dvorana, Beograd (SRB)",22.0,1999.0,pole-vault,indoor,senior
2021,jumps,women,1290.0,513.0,Women's Triple Jump,Outdoor Senior - Women,1,15.67,Yulimar ROJAS,VEN,1,2021-08-01,"National Stadium, Tokyo (JPN)",26.0,1995.0,triple-jump,outdoor,senior
2022,jumps,men,1325.0,67.0,Men's Pole Vault,Outdoor Senior - Men,2,6.21,Armand DUPLANTIS,SWE,1,2022-07-24,"Hayward Field, Eugene, OR (USA)",23.0,1999.0,pole-vault,outdoor,senior
2022,jumps,women,1297.0,345.0,Women's Triple Jump indoor,Indoor Senior - Women,1,15.74,Yulimar ROJAS,VEN,1,2022-03-20,"Štark Arena, Beograd (SRB)",27.0,1995.0,triple-jump,indoor,senior
2023,jumps,men,1330.0,50.0,Men's Pole Vault,Outdoor Senior - Men,1,6.23,Armand DUPLANTIS,SWE,1,2023-09-17,"Hayward Field, Eugene, OR (USA)",24.0,1999.0,pole-vault,outdoor,senior
2023,jumps,women,1256.0,3223.0,Women's Triple Jump,Outdoor Senior - Women,10,15.35,Yulimar ROJAS,VEN,1,2023-09-16,"Hayward Field, Eugene, OR (USA)",28.0,1995.0,triple-jump,outdoor,senior
